,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
3958,2019-01-08,33.0,male,blunt_object,White,Midland,TX,not,False,True,"Midland County Sheriff's Office, TX",2019.0
3959,2019-01-08,53.0,male,gun,Unknown,Leadwood,MO,not,False,False,"Missouri Highway Patrol, MO",2019.0
3960,2019-01-10,29.0,male,"gun,vehicle",White,Wichita,KS,car,False,False,"Wichita Police Department, KS",2019.0
3961,2019-01-10,70.0,male,gun,Black,Eclectic,AL,not,False,False,"Elmore County Sheriff's Office, AL",2019.0
3962,2019-01-11,37.40950678304764,male,blunt_object,Unknown,Huntsville,TX,not,False,False,"Huntsville Police Department, TX",2019.0
3963,2019-01-11,19.0,male,gun,Black,Phoenix,AZ,not,False,False,"Phoenix Police Department, AZ",2019.0
3964,2019-01-11,30.0,male,gun,Hispanic,Eugene,OR,not,True,False,"Eugene Police Department, OR",2019.0
3965,2019-01-11,20.0,male,gun,Black,Arlington,TX,foot,False,False,"Arlington Police Department, TX",2019.0
3966,2019-01-11,26.0,male,gun,Black,Lake Charles,LA,other,False,False,"Louisiana State Police, LA",2019.0
3967,2019-01-12,58.0,male,replica,White,Dearborn County,IN,not,False,True,"Dearborn County Sheriff's Office, IN;Indiana State Police, IN",2019.0
3968,2019-01-12,48.0,male,knife,White,Colorado Springs,CO,not,False,False,"Colorado Springs Police Department, CO",2019.0
3969,2019-01-13,43.0,male,knife,Unknown,Lakewood,WA,not,False,True,"Lakewood Police Department, WA",2019.0
3970,2019-01-13,34.0,male,gun,White,White Lake,SD,not,False,False,"Federal Bureau of Investigation, SD",2019.0
3971,2019-01-13,28.0,male,gun,Hispanic,Cathedral City,CA,not,False,False,"Cathedral City Police Department, CA",2019.0
3972,2019-01-13,38.0,male,unarmed,Hispanic,Calabasas,CA,car,False,False,"California Highway Patrol, CA",2019.0
3973,2019-01-14,39.0,male,gun,Black,Logan Township,NJ,not,False,False,"Gloucester County Sheriff's Office, NJ;Logan Township Police Department, NJ",2019.0
3974,2019-01-14,33.0,male,gun,White,Odessa,TX,not,False,False,"Ector County Sheriff's Office, TX",2019.0
3975,2019-01-14,38.0,male,knife,Black,Vacaville,CA,foot,False,False,"Fairfield Police Department, CA",2019.0
3976,2019-01-14,25.0,male,gun,Hispanic,El Paso,TX,foot,False,False,"El Paso Police Department, TX",2019.0
3977,2019-01-14,18.0,male,unarmed,Hispanic,Pueblo,CO,car,False,False,"Pueblo County Sheriff's Office, CO",2019.0
3978,2019-01-14,62.0,male,gun,Unknown,Gainesville,GA,not,False,False,"Gainesville Police Department, GA",2019.0
3979,2019-01-14,45.0,male,gun,Black,Linda,CA,not,False,False,"Yuba County Sheriff's Office, CA",2019.0
3980,2019-01-15,22.0,male,gun,Black,St. Louis,MO,foot,False,False,"St. Louis Police Department, MO",2019.0
3981,2019-01-15,18.0,male,vehicle,Black,Atlanta,GA,car,False,False,"Atlanta Police Department, GA",2019.0
3982,2019-01-15,14.0,male,replica,Hispanic,Tempe,AZ,foot,True,False,"Tempe Police Department, AZ",2019.0
3983,2019-01-15,48.0,male,gun,White,Roseville,CA,car,False,False,"California Highway Patrol, CA;Placer County Sheriff's Department, CA;Roseville Police Department, CA",2019.0
3984,2019-01-15,58.0,male,gun,White,Aurora,CO,not,False,False,"Aurora Police Department, CO",2019.0
3985,2019-01-16,31.0,male,gun,Black,Silver Spring,MD,foot,False,False,"Montgomery County Police Department, MD",2019.0
3986,2019-01-16,32.0,male,knife,White,Charlotte,NC,foot,False,False,"Charlotte Mecklenburg Police Department, NC",2019.0
